Caldwell_Messier,WISE Objects,L,B,Longitude,Latitude,size in degrees,HST image,Orientation
M003,NGC 5272 M3,42.21696,78.706849,-42.21696,78.706849,,,,,
M004,NGC 6121 M4,350.972924,15.972181,9.027076,15.972181,,,,,
M005,NGC 5904 M5,3.858726,46.796367,-3.858726,46.796367,,,,,
M008,Lagoon Nebula M8,5.95751,-1.16668,-5.95751,-1.16668,,,,,
M009,NGC 6333 M9,5.544417,10.705143,-5.544417,10.705143,,,,,
M010,NGC 6254 M10,15.137049,23.075975,-15.137049,23.075975,,,,,
M011,Wild Duck Cluster NGC 6705 M11,27.307098,-2.776126,-27.307098,-2.776126,,,,,
M012,NGC 6218   M12,15.71519,26.313281,-15.71519,26.313281,,,,,
M013,NGC 6205 M13,59.009467,40.911763,-59.009467,40.911763,,,,,
M014,NGC 6402 M14,21.323852,14.804429�,-21.323852,14.804429�,,,,,
M015,NGC 7078 M15,65.012626,-27.312623,-65.012626,-27.312623,,,,,
M016,Eagle Nebula NGC 6611 M16,16.953741,0.793212,-16.953741,0.793212,,,,,
M017,Omega Nebula NGC 6618 M17,15.095023,-0.745658,-15.095023,-0.745658,,,,,
M019,NGC 6723 M19,0.069276,-17.298922,-0.069276,-17.298922,,,,,
M020,Trifid Nebula NGC 6514 M20,7.085595,-0.287488,-7.085595,-0.287488,,,,,
M022,NGC 6656 M22,9.892254,-7.55164,-9.892254,-7.55164,,,,,
M027,Dumbbell Nebula NGC 6853 M27,60.836132,-3.69627,-60.836132,-3.69627,,,,,
M028,NGC 6626 M28,7.7982,-5.580672,-7.7982,-5.580672,,,,,
M030,NGC 7099 M30,27.179141,-46.835513,-27.179141,-46.835513,,,,,
M031,Andromeda Galaxy M31,121.173225,-21.572856,-121.173225,-21.572856,,http://hubblesite.org/newscenter/archive/releases/galaxy/interacting/2012/20/image/a/,,,
M031,M31 V1 Cepheid,118.844513,-23.393526,-118.844513,-23.393526,,http://hubblesite.org/newscenter/archive/releases/2011/15/image/b/,,,
M032,NGC 221 M32,121.150008,-21.976336,-121.150008,-21.976336,,,,,
M033,Triangulum Galaxy M33,133.610268,-31.330905,-133.610268,-31.330905,,,,,
M042,Orion Nebula M42  NGC 1976,209.013738,-19.381604,150.986262,-19.381604,0.5,http://hubblesite.org/newscenter/archive/releases/2006/01/image/i/,yes,,
M043,NGC 1982 M43,208.92647,-19.276256,151.07353,-19.276256,,,,,
M045,Pleiades M45,166.570654,-23.521171,-166.570654,-23.521171,,,,,
M049,NGC 4472� M49,286.922244,70.196056,73.077756,70.196056,,,,,
M051,Whirlpool Galaxy M51,104.851584,68.560702,-104.851584,68.560702,,http://hubblesite.org/newscenter/archive/releases/2005/12/image/a/,,,
M053,NGC 5024 M53,332.962992,79.764195,27.037008,79.764195,,,,,
M054,NGC 6715  M54,5.607021,-14.087144,-5.607021,-14.087144,,,,,
M056,NGC 6779 M56,62.659399,8.336381,-62.659399,8.336381,,,,,
M057,Ring Nebula M57  NGC 6720,63.170078,13.978097,-63.170078,13.978097,,,,,
M058,NGC 4579  M58 Galaxy,290.397977,74.355217,69.602023,74.355217,,,,,
M059,NGC 4621  M59,294.364605,74.362122,65.635395,74.362122,,,,,
M060,NGC 4649  M60,295.87359,74.317764,64.12641,74.317764,,,,,
M061,NGC 4303 M61,284.370892,66.275843,75.629108,66.275843,,,,,
M062,NGC 6266  M62,353.574577,7.319562,6.425423,7.319562,,,,,
M063,Sunflower Galaxy NGC 5055 M63,105.99774,74.287584,-105.99774,74.287584,,,,,
M064,Blackeye Galaxy NGC 4826 M64,315.681943,84.422967,44.318057,84.422967,,,,,
M065,NGC 3623  M65,241.331679,64.221749,118.668321,64.221749,,,,,
M066,NGC 3627  M66,241.331679,64.221749,118.668321,64.221749,,,,,
M068,NGC 4590  M68,299.62577,36.050826,60.37423,36.050826,,,,,
M069,NGC 6637  M69,1.722883,-10.269375,-1.722883,-10.269375,,,,,
M070,NGC 6681  M70,2.852923,-12.509868,-2.852923,-12.509868,,,,,
M071,NGC 6838  M71,56.745871,-4.564434,-56.745871,-4.564434,,,,,
M072,NGC 6981  M72,35.162319,-32.683134,-35.162319,-32.683134,,,,,
M074,NGC 628  M74,138.617011,-45.70542,-138.617011,-45.70542,,,,,
M075,NGC 6864  M75,20.303067,-25.747959,-20.303067,-25.747959,,,,,
M076,NGC 650/651  M76,130.933529,-10.503949,-130.933529,-10.503949,,,,,
M077,Cetus A NGC 1068  M77,172.104001,-51.933617,-172.104001,-51.933617,,,,,
M078,NGC 2068  M78,205.32867,-14.311944,154.67133,-14.311944,,,,,
M079,NGC 1904 M79,227.229142,-29.351516,132.770858,-29.351516,,,,,
M080,NGC 6093  M80,352.673227,19.46303,7.326773,19.46303,,,,,
M081,Bode's Galaxy NGC 3031  M81,142.091816,40.900055,-142.091816,40.900055,,,,,
M082,Cigar Galaxy NGC 3034   M82,141.40946,40.56696,-141.40946,40.56696,,,,,
M083,Southern Pinwheel Galaxy�NGC 5236 M83,314.583567,31.972702,45.416433,31.972702,,,,,
M084,NGC 4374  M84,278.20445,74.478361,81.79555,74.478361,,,,,
M085,NGC 4382  M85,267.71196,79.23722,92.28804,79.23722,,,,,
M086,NGC 4406  M86,279.08349,74.63686,80.91651,74.63686,,,,,
M087,Virgo A NGC4486  M87,283.777736,74.491155,76.222264,74.491155,,,,,
M088,NGC 4501 M88,282.329399,76.507869,77.670601,76.507869,,,,,
M089,NGC 4552  M89,287.932601,74.966777,72.067399,74.966777,,,,,
M090,NGC 4569  M90,288.467475,75.622792,71.532525,75.622792,,,,,
M091,NGC 4548  M91,285.692848,76.829605,74.307152,76.829605,,,,,
M092,NGC 6341  M92,68.338387,34.858909,-68.338387,34.858909,,,,,
M094,NGC 4736  M94  Cat's Eye Galaxy,123.361973,76.007637,-123.361973,76.007637,,,,,
M095,NGC 3351   M95,233.951786,56.367977,126.048214,56.367977,,,,,
M096,NGC 3368  M96,234.435348,57.010406,125.564652,57.010406,,,,,
M098,NGC 4192  M98,265.431772,74.959862,94.568228,74.959862,,,,,
M099,NGC 4254  M99,270.431,75.189835,89.569,75.189835,,,,,
M100,NGC 4321  M100,271.136812,76.898935,88.863188,76.898935,,,,,
M101,Pinwheel Galaxy  M101,102.036989,59.771413,-102.036989,59.771413,,,,,
M102,Spindle Galaxy NGC5866 M102,92.034015,52.489062,-92.034015,52.489062,,,,,
M104,Sombrero Galaxy  NGC 4594 M104,298.460574,51.149284,61.539426,51.149284,,,,,
M105,NGC 3379  M105,233.490123,57.632799,126.509877,57.632799,,,,,
M106,NGC 4258  M106,138.319685,68.842395,-138.319685,68.842395,,,,,
